date,SMA
2014-04-02,89.829
2014-04-03,89.799
2014-04-04,89.7055
2014-04-07,89.51
2014-04-08,89.34
2014-04-09,89.259
2014-04-10,89.1765
2014-04-11,89.086
2014-04-14,88.9635
2014-04-15,88.906
2014-04-16,88.994
2014-04-17,89.0865
2014-04-21,89.1965
2014-04-22,89.3815
2014-04-23,89.468
2014-04-24,89.548
2014-04-25,89.7325
2014-04-28,89.8505
2014-04-29,89.952
2014-04-30,90.1385
2014-05-01,90.246
2014-05-02,90.343
2014-05-05,90.5745
2014-05-06,90.921
2014-05-07,91.3575
2014-05-08,91.653
2014-05-09,92.0565
2014-05-12,92.515
2014-05-13,92.907
2014-05-14,93.258
2014-05-15,93.447
2014-05-16,93.6485
2014-05-19,93.8765
2014-05-20,94.063
2014-05-21,94.356
2014-05-22,94.667
2014-05-23,95.0535
2014-05-27,95.44
2014-05-28,95.841
2014-05-29,96.2335
2014-05-30,96.591
2014-06-02,96.981
2014-06-03,97.2925
2014-06-04,97.5965
2014-06-05,97.76
2014-06-06,97.9875
2014-06-09,98.161
2014-06-10,98.3445
2014-06-11,98.505
2014-06-12,98.6395
2014-06-13,98.8255
2014-06-16,98.962
2014-06-17,99.061
2014-06-18,99.1595
2014-06-19,99.1915
2014-06-20,99.314
2014-06-23,99.411
2014-06-24,99.4925
2014-06-25,99.472
2014-06-26,99.3795
2014-06-27,99.2445
2014-06-30,99.117
2014-07-01,99.0485
2014-07-02,98.9795
2014-07-03,99.011
2014-07-07,98.978
2014-07-08,98.916
2014-07-09,98.8595
2014-07-10,98.824
2014-07-11,98.819
2014-07-14,98.8205
2014-07-15,98.8005
2014-07-16,98.834
2014-07-17,98.862
2014-07-18,98.9735
2014-07-21,99.027
2014-07-22,99.0985
2014-07-23,99.2185
2014-07-24,99.4105
2014-07-25,99.86
2014-07-28,100.499
2014-07-29,101.031
2014-07-30,101.514
2014-07-31,101.889
2014-08-01,102.233
2014-08-04,102.748
2014-08-05,103.232
2014-08-06,103.7405
2014-08-07,104.2125
2014-08-08,104.673
2014-08-11,105.1375
2014-08-12,105.6585
2014-08-13,106.1785
2014-08-14,106.6915
2014-08-15,107.17
2014-08-18,107.667
2014-08-19,108.1695
2014-08-20,108.653
2014-08-21,109.147
2014-08-22,109.3795
2014-08-25,109.5445
2014-08-26,109.76
2014-08-27,110.031
2014-08-28,110.3925
2014-08-29,110.7825
2014-09-02,111.06
2014-09-03,111.4035
2014-09-04,111.646
2014-09-05,111.979
2014-09-08,112.2605
2014-09-09,112.498
2014-09-10,112.726
2014-09-11,112.895
2014-09-12,112.9895
2014-09-15,113.0525
2014-09-16,113.0725
2014-09-17,113.0415
2014-09-18,113.1205
2014-09-19,113.2055
2014-09-22,113.229
2014-09-23,113.097
2014-09-24,113.0645
2014-09-25,112.8875
2014-09-26,112.876
2014-09-29,112.8235
2014-09-30,112.547
2014-10-01,112.0855
2014-10-02,111.5435
2014-10-03,110.9
2014-10-06,110.2945
2014-10-07,109.6095
2014-10-08,109.066
2014-10-09,108.3635
2014-10-10,107.5315
2014-10-13,106.268
2014-10-14,104.9595
2014-10-15,103.677
2014-10-16,102.456
2014-10-17,101.2375
2014-10-20,100.208
2014-10-21,99.452
2014-10-22,98.5285
2014-10-23,97.742
2014-10-24,96.699
2014-10-27,95.3935
2014-10-28,94.422
2014-10-29,93.4345
2014-10-30,92.714
2014-10-31,92.2095
2014-11-03,91.576
2014-11-04,90.813
2014-11-05,89.9465
2014-11-06,89.3025
2014-11-07,88.9235
2014-11-10,88.9955
2014-11-11,89.153
2014-11-12,89.286
2014-11-13,89.2165
2014-11-14,89.1515
2014-11-17,88.9355
2014-11-18,88.628
2014-11-19,88.4215
2014-11-20,88.226
2014-11-21,88.1665
2014-11-24,88.335
2014-11-25,88.406
2014-11-26,88.6205
2014-11-28,88.134
2014-12-01,87.393
2014-12-02,86.7835
2014-12-03,86.516
2014-12-04,86.3105
2014-12-05,86.034
2014-12-08,85.546
2014-12-09,85.079
2014-12-10,84.383
2014-12-11,83.7185
2014-12-12,82.852
2014-12-15,81.969
2014-12-16,81.1615
2014-12-17,80.4895
2014-12-18,79.985
2014-12-19,79.564
2014-12-22,79.0595
2014-12-23,78.6415
2014-12-24,78.1745
2014-12-26,77.7465
2014-12-29,77.84
2014-12-30,78.0295
2014-12-31,78.1475
2015-01-02,78.215
2015-01-05,77.96
2015-01-06,77.643
2015-01-07,77.5185
2015-01-08,77.495
2015-01-09,77.713
2015-01-12,77.7555
2015-01-13,77.99
2015-01-14,78.1745
2015-01-15,78.3605
2015-01-16,78.5725
2015-01-20,78.5065
2015-01-21,78.4755
2015-01-22,78.4905
2015-01-23,78.4205
2015-01-26,78.3185
2015-01-27,78.203
2015-01-28,77.9895
2015-01-29,77.848
2015-01-30,77.833
2015-02-02,77.9295
2015-02-03,78.4725
2015-02-04,79.0185
2015-02-05,79.6405
2015-02-06,80.0705
2015-02-09,80.5385
2015-02-10,81.1415
2015-02-11,81.7355
2015-02-12,82.5075
2015-02-13,83.2435
2015-02-17,83.7485
2015-02-18,84.326
2015-02-19,84.819
2015-02-20,85.272
2015-02-23,85.8095
2015-02-24,86.412
2015-02-25,86.958
2015-02-26,87.4725
2015-02-27,87.8795
2015-03-02,88.23
2015-03-03,88.4545
2015-03-04,88.4715
2015-03-05,88.603
2015-03-06,88.5905
2015-03-09,88.6295
2015-03-10,88.4315
2015-03-11,88.2765
2015-03-12,88.2185
2015-03-13,87.9145
2015-03-16,87.6785
2015-03-17,87.3145
2015-03-18,87.1805
