date,ULTOSC
2014-01-13,48.063
2014-01-14,54.9618
2014-01-15,59.9589
2014-01-16,56.5012
2014-01-17,53.5399
2014-01-21,46.8902
2014-01-22,49.2949
2014-01-23,47.8953
2014-01-24,39.4751
2014-01-27,40.2474
2014-01-28,41.4564
2014-01-29,41.3545
2014-01-30,44.7377
2014-01-31,43.5748
2014-02-03,41.5508
2014-02-04,44.0145
2014-02-05,44.6497
2014-02-06,48.0731
2014-02-07,52.3213
2014-02-10,52.7529
2014-02-11,55.7357
2014-02-12,63.7567
2014-02-13,67.8661
2014-02-14,70.5188
2014-02-18,71.2006
2014-02-19,61.7127
2014-02-20,65.1193
2014-02-21,62.2584
2014-02-24,59.6854
2014-02-25,58.5799
2014-02-26,58.3242
2014-02-27,58.9513
2014-02-28,60.3585
2014-03-03,60.8917
2014-03-04,67.7562
2014-03-05,72.111
2014-03-06,69.7066
2014-03-07,65.1852
2014-03-10,63.9571
2014-03-11,63.6163
2014-03-12,58.1989
2014-03-13,48.8391
2014-03-14,45.5972
2014-03-17,49.5723
2014-03-18,47.6427
2014-03-19,43.1577
2014-03-20,49.3562
2014-03-21,45.7286
2014-03-24,46.5706
2014-03-25,49.5248
2014-03-26,39.9254
2014-03-27,33.609
2014-03-28,36.0373
2014-03-31,33.9466
2014-04-01,34.4642
2014-04-02,43.4218
2014-04-03,44.3567
2014-04-04,38.5292
2014-04-07,40.5641
2014-04-08,37.7316
2014-04-09,41.9644
2014-04-10,38.9216
2014-04-11,38.2626
2014-04-14,39.5257
2014-04-15,50.1097
2014-04-16,57.7812
2014-04-17,60.6306
2014-04-21,57.0038
2014-04-22,60.5569
2014-04-23,56.7042
2014-04-24,55.0683
2014-04-25,52.6459
2014-04-28,49.6671
2014-04-29,45.9364
2014-04-30,49.1554
2014-05-01,49.6045
2014-05-02,50.2878
2014-05-05,53.6927
2014-05-06,55.3214
2014-05-07,61.0487
2014-05-08,57.1284
2014-05-09,61.3689
2014-05-12,61.872
2014-05-13,59.8703
2014-05-14,58.4304
2014-05-15,55.5562
2014-05-16,55.7779
2014-05-19,57.4162
2014-05-20,52.4091
2014-05-21,54.561
2014-05-22,55.4523
2014-05-23,57.1715
2014-05-27,54.1972
2014-05-28,47.6555
2014-05-29,56.6766
2014-05-30,54.9447
2014-06-02,54.3584
2014-06-03,52.9732
2014-06-04,51.2153
2014-06-05,50.6354
2014-06-06,49.0013
2014-06-09,42.2562
2014-06-10,47.3973
2014-06-11,41.6982
2014-06-12,41.2385
2014-06-13,36.7404
2014-06-16,41.4583
2014-06-17,42.2374
2014-06-18,46.4977
2014-06-19,41.6879
2014-06-20,48.0943
2014-06-23,57.5856
2014-06-24,47.9941
2014-06-25,42.1906
2014-06-26,44.3799
2014-06-27,38.5765
2014-06-30,40.9392
2014-07-01,39.75
2014-07-02,38.9852
2014-07-03,47.0029
2014-07-07,48.4752
2014-07-08,47.4378
2014-07-09,53.3491
2014-07-10,52.4331
2014-07-11,52.9145
2014-07-14,51.2018
2014-07-15,46.5691
2014-07-16,53.5434
2014-07-17,53.9757
2014-07-18,58.1302
2014-07-21,61.1566
2014-07-22,63.1873
2014-07-23,63.495
2014-07-24,63.4532
2014-07-25,72.4899
2014-07-28,76.7036
2014-07-29,66.9073
2014-07-30,63.0705
2014-07-31,55.8657
